geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
11696090,1268 Feet Mountain (historical),1268 Feet Mountain (historical),,10.74634,107.65069,T,MT,VN,,47,601,,,0,,319,Asia/Ho_Chi_Minh,2023-06-26
10113195,A & Em 19 Dong Du Hotel,A & Em 19 Dong Du Hotel,,10.776,106.705,S,HTL,VN,,20,760,,,0,,9,Asia/Ho_Chi_Minh,2023-06-26
9886316,A & Em Hotel Hanoi,A & Em Hotel Hanoi,,21.03635,105.85065,S,HTL,VN,,44,002,,,0,,21,Asia/Bangkok,2023-06-26
1594601,A Ba Yu Can,A Ba Yu Can,,15.91667,107.68333,P,PPL,VN,,84,505,,,0,,667,Asia/Ho_Chi_Minh,2023-06-26
1594599,A Blan,A Blan,,15.83333,107.53333,P,PPL,VN,,84,504,,,0,,830,Asia/Ho_Chi_Minh,2023-06-26
1594597,A Brahon,A Brahon,"A Brahon,Ap Brahon",15.68333,107.58333,P,PPL,VN,,84,510,,,0,,270,Asia/Ho_Chi_Minh,2023-06-26
1594590,A Chốc,A Choc,,16.9,106.78333,P,PPL,VN,,64,464,,,0,,224,Asia/Bangkok,2023-06-26
1594589,A Daigne,A Daigne,,16.31667,106.98333,P,PPL,VN,,64,467,,,0,,657,Asia/Ho_Chi_Minh,2023-06-26
1594587,A Đăng,A GJang,"A Dang,A Đăng",16.42411,106.98714,P,PPL,VN,,64,467,,,0,,232,Asia/Bangkok,2023-06-26
1594582,A Gia,A Gia,"A Gia,P. A Gia,Pho Ap Giai,Pho Ấp Giai",11.56667,108.7,P,PPL,VN,,60,585,,,0,,837,Asia/Ho_Chi_Minh,2023-06-26
1594580,A Giơi Cô,A Gioi Co,"A Gioi,A Gioi Co,A Giơi Cô",16.49395,106.75027,P,PPL,VN,,64,465,,,0,,411,Asia/Bangkok,2023-06-26
1594577,A Hoi,A Hoi,,15.66667,107.35,P,PPL,VN,,84,510,,,0,,698,Asia/Ho_Chi_Minh,2023-06-26
1594576,A Hourn,A Hourn,,15.61667,107.48333,P,PPL,VN,,84,510,,,0,,533,Asia/Ho_Chi_Minh,2023-06-26
1594562,A Kar,A Kar,"A Kar,Aka",16.08333,107.61667,P,PPLQ,VN,,66,483,,,0,,359,Asia/Bangkok,2023-06-26
10328498,A La Carte Danang Beach,A La Carte Danang Beach,,16.05441,108.20217,S,HTL,VN,,78,492,,,0,,8,Asia/Ho_Chi_Minh,2023-06-26
1594553,A Le Thiêm,A Le Thiem,,16.28333,107.15,P,PPL,VN,,66,481,,,0,,650,Asia/Bangkok,2023-06-26
8650909,A Liêng,A Lieng,"A Lieng,A Liêng",16.44395,106.9799,P,PPL,VN,,64,467,,,0,,234,Asia/Bangkok,2023-06-26
1594551,A Lou,A Lou,,22.71667,103.58333,P,PPL,VN,,90,082,,,0,,651,Asia/Bangkok,2023-06-26
1594550,A Lou Pu La,A Lou Pu La,,22.73333,103.61667,P,PPL,VN,,90,082,,,0,,724,Asia/Bangkok,2023-06-26
