name,asciiname,alternatenames,latitude,longitude,population,dem,feature_class,feature_code
Huyện Trà My,Huyen Tra My,"Huyen Tra My,Huyện Trà My,Nam Tra My District,Nam Trà My District",15.25,108.08333,19876,394,,
Huyện Lý Sơn,Huyen Ly Son,"Huyen Ly Son,Huyện Lý Sơn,Ly Son District,Lý Sơn District",15.38184,109.11451,19695,27,,
Huyện Nam Giang,Huyen Nam Giang,"Huyen Giang,Huyen Nam Giang,Huyện Giẳng,Huyện Nam Giang,Nam Giang District",15.63201,107.60267,19570,599,,
Huyện Khánh Sơn,Huyen Khanh Son,"Huyen Khanh Son,Huyện Khánh Sơn,Khanh Son District,Khánh Sơn District",12.02858,108.90814,18368,358,,
Huyện Ba Chẽ,Huyen Ba Che,"Ba Che District,Ba Chẽ District,Huyen Ba Che,Huyện Ba Chẽ",21.29503,107.19298,17335,110,,
Huyện Sơn Tây,Huyen Son Tay,"Huyen Son Tay,Huyện Sơn Tây,Son Tay District,Sơn Tây District",14.96392,108.36419,15164,903,,
Huyện Minh Long,Huyen Minh Long,"Huyen Minh Long,Huyện Minh Long,Minh Long District",14.95375,108.67724,14634,479,,
Thị Xã Cửa Lò,Thi Xa Cua Lo,"Thi Xa Cua Lo,Thị Xã Cửa Lò",18.78672,105.72512,11884,4,,
Huyện Cô Tô,Huyen Co To,"Co To District,Cô Tô District,Huyen Co To,Huyện Cô Tô",21.0205,107.83109,5281,98,,
Lũng Cú,Lung Cu,"Long Co,Loung Ca,Loung Co,Lung Co,Lung Cu,Lũng Cú",23.36106,105.31552,4885,1350,,
Huyền Tụng,Huyen Tung,"Huyen Tung,Huyền Tụng",20.95,106.55,4876,3,,
Thường Nga,Thuong Nga,"Thuong Nga,Thuong Ngo,Thường Nga",18.45,105.66667,4814,6,,
Thị Trấn Xuân Hoà,Thi Tran Xuan Hoa,"Thi Tran Xuan Hoa,Thị Trấn Xuân Hoà,Xuan Hoa,Xuân Hòa",22.90243,106.07737,4541,275,,
Nằm Vi,Nam Vi,"Nam Vi,Nằm Vi",22.21667,102.51667,4163,651,,
Nong Hạ,Nong Ha,"Nong Ha,Nong Hạ",21.95,105.8,4062,142,,
Phù Ninh,Phu Ninh,"Ninh hiep,Phu Ninh,Phù Ninh",21.08333,105.95,4000,9,,
Thôn La Vang Chinh,Thon La Vang Chinh,"La Vang,Thon La Vang Chinh,Thôn La Vang Chinh,la wang,luo rong,لا وانگ,羅榮",16.71667,107.23333,4000,11,,
Xuân Lạc,Xuan Lac,"Xuan Lac,Xuân Lạc",19.0,105.28333,3764,35,,
Phương Linh,Phuong Linh,"Phuong Linh,Phương Linh",21.46709,105.09871,3679,24,,
Hòa Hợp,Hoa Hop,"Hoa Hop,Hòa Hợp",18.3114,105.9099,3560,5,,
Pú Hồng,Pu Hong,"Pu Hong,Pú Hồng",21.0696,103.23711,3443,994,,
An Bá,An Ba,"An Ba,An Bá,Dong Xuan",14.98333,108.85,3333,9,,
Giáo Liêm,Giao Liem,"Giao Liem,Giáo Liêm",16.85,107.15,2871,5,,
Xóm Mười Lăm,Xom Muoi Lam,"Xom 15,Xom Muoi Lam,Xóm 15,Xóm Mười Lăm",19.2232,105.65717,2855,19,,
Thị Trấn Phố Bảng,Thi Tran Pho Bang,"Pho Bang,Thi Tran Pho Bang,Thị Trấn Phố Bảng",23.25432,105.18448,2811,1404,,
Hạ Hiệu,Ha Hieu,"Ha Hieu,Hạ Hiệu,Pia Hieu",22.43333,105.85,2739,198,,
Je Siao Ping,Je Siao Ping,"Je Siao Ping,Je Siaou Ping",22.65,104.73333,2640,829,,
Vũ Quang,Vu Quang,"Vu Quang,Vũ Quang",18.38385,105.5059,2449,16,,
Lao Chải,Lao Chai,"Lao Chai,Lao Chaj,Lao Chải,Lao Tchay,Лао Чай",22.31377,103.86844,2324,1168,,
Sằng Uỷ,Sang Uy,"Sang Uy,Sằng Uỷ",22.7,106.55,2000,410,,
Lương Bằng,Luong Bang,"Luong Bang,Lương Bằng",21.64841,105.02855,1937,65,,
Yên Thượng,Yen Thuong,"Yen Thuong,Yên Thượng",18.88333,105.28333,1264,26,,
Ba Que,Ba Que,,17.91667,106.36667,1000,130,,
In Tchang,In Tchang,"In Tchang,In Tchong,Tn Tchang",22.58333,103.66667,500,1017,,
In Tchong,In Tchong,"In Tchang,In Tchong,La Tchong",22.61667,103.78333,500,227,,
Kany I,Kany I,"Cagne,Cagne Dung,Kang,Kany,Kany I",11.7,108.15,190,926,,
